Tiempo, N_Partida, Cant_Palabras, Evento, User, Genero, Edad, Estado, Palabra, Nivel

1624654523,Partida n,6.0,Inicio_Partida,Usuario2,Femenino,27,-,-,Facil
1624654524,Partida n,6.0,Primera_Ficha,Usuario2,Femenino,27,Primera,Poni,Facil
1624654525,Partida n,6.0,Conjunto_Incorrecto,Usuario2,Femenino,27,Error,Poni,Facil
1624654525,Partida n,6.0,Primera_Ficha,Usuario2,Femenino,27,Primera,Ternero,Facil
1624654527,Partida n,6.0,Conjunto_Incorrecto,Usuario2,Femenino,27,Error,Ternero,Facil
1624654527,Partida n,6.0,Primera_Ficha,Usuario2,Femenino,27,Primera,Bufalo,Facil
1624654529,Partida n,6.0,Conjunto_Incorrecto,Usuario2,Femenino,27,Error,Bufalo,Facil
1624654529,Partida n,6.0,Primera_Ficha,Usuario2,Femenino,27,Primera,Ternero,Facil
1624654531,Partida n,6.0,Conjunto_Incorrecto,Usuario2,Femenino,27,Error,Ternero,Facil
1624654531,Partida n,6.0,Primera_Ficha,Usuario2,Femenino,27,Primera,Yaguarete,Facil
1624654533,Partida n,6.0,Conjunto_Incorrecto,Usuario2,Femenino,27,Error,Yaguarete,Facil
1624654533,Partida n,6.0,Primera_Ficha,Usuario2,Femenino,27,Primera,Ternero,Facil
1624654535,Partida n,6.0,Conjunto_Incorrecto,Usuario2,Femenino,27,Error,Ternero,Facil
1624654535,Partida n,6.0,Primera_Ficha,Usuario2,Femenino,27,Primera,Yaguarete,Facil
1624654537,Partida n,6.0,Fin_Partida,Usuario2,Femenino,27,Cancelada,-,Facil
1624654544,Partida n,12.0,Inicio_Partida,Usuario2,Femenino,27,-,-,Facil
1624654545,Partida n,12.0,Primera_Ficha,Usuario2,Femenino,27,Primera,Chimpance,Facil
1624654546,Partida n,12.0,Conjunto_Incorrecto,Usuario2,Femenino,27,Error,Chimpance,Facil
1624654546,Partida n,12.0,Primera_Ficha,Usuario2,Femenino,27,Primera,Tapir,Facil
1624654548,Partida n,12.0,Conjunto_Incorrecto,Usuario2,Femenino,27,Error,Tapir,Facil
1624654548,Partida n,12.0,Primera_Ficha,Usuario2,Femenino,27,Primera,Medusa,Facil
1624654550,Partida n,12.0,Conjunto_Incorrecto,Usuario2,Femenino,27,Error,Medusa,Facil
1624654550,Partida n,12.0,Primera_Ficha,Usuario2,Femenino,27,Primera,Nutria,Facil
1624654551,Partida n,12.0,Conjunto_Correcto,Usuario2,Femenino,27,Correcto,Nutria,Facil
1624654551,Partida n,12.0,Primera_Ficha,Usuario2,Femenino,27,Primera,Gato,Facil
1624654553,Partida n,12.0,Conjunto_Incorrecto,Usuario2,Femenino,27,Error,Gato,Facil
1624654554,Partida n,12.0,Primera_Ficha,Usuario2,Femenino,27,Primera,Tortuga,Facil
1624654555,Partida n,12.0,Conjunto_Correcto,Usuario2,Femenino,27,Correcto,Tortuga,Facil
1624654555,Partida n,12.0,Primera_Ficha,Usuario2,Femenino,27,Primera,Pulpo,Facil
1624654557,Partida n,12.0,Conjunto_Incorrecto,Usuario2,Femenino,27,Error,Pulpo,Facil
1624654557,Partida n,12.0,Primera_Ficha,Usuario2,Femenino,27,Primera,Rana,Facil
1624654559,Partida n,12.0,Conjunto_Incorrecto,Usuario2,Femenino,27,Error,Rana,Facil
1624654560,Partida n,12.0,Primera_Ficha,Usuario2,Femenino,27,Primera,Medusa,Facil
1624654562,Partida n,12.0,Conjunto_Incorrecto,Usuario2,Femenino,27,Error,Medusa,Facil
1624654563,Partida n,12.0,Primera_Ficha,Usuario2,Femenino,27,Primera,Gato,Facil
1624654565,Partida n,12.0,Conjunto_Incorrecto,Usuario2,Femenino,27,Error,Gato,Facil
1624654566,Partida n,12.0,Primera_Ficha,Usuario2,Femenino,27,Primera,Chimpance,Facil
1624654566,Partida n,12.0,Conjunto_Correcto,Usuario2,Femenino,27,Correcto,Chimpance,Facil
1624654567,Partida n,12.0,Primera_Ficha,Usuario2,Femenino,27,Primera,Rana,Facil
1624654570,Partida n,12.0,Conjunto_Incorrecto,Usuario2,Femenino,27,Error,Rana,Facil
1624654570,Partida n,12.0,Primera_Ficha,Usuario2,Femenino,27,Primera,Gato,Facil
1624654572,Partida n,12.0,Conjunto_Incorrecto,Usuario2,Femenino,27,Error,Gato,Facil
1624654572,Partida n,12.0,Primera_Ficha,Usuario2,Femenino,27,Primera,Gato,Facil
1624654573,Partida n,12.0,Conjunto_Correcto,Usuario2,Femenino,27,Correcto,Gato,Facil
1624654573,Partida n,12.0,Primera_Ficha,Usuario2,Femenino,27,Primera,Antilope,Facil
1624654575,Partida n,12.0,Conjunto_Incorrecto,Usuario2,Femenino,27,Error,Antilope,Facil
1624654575,Partida n,12.0,Primera_Ficha,Usuario2,Femenino,27,Primera,Caballo_de_Mar,Facil
1624654576,Partida n,12.0,Conjunto_Correcto,Usuario2,Femenino,27,Correcto,Caballo_de_Mar,Facil
1624654576,Partida n,12.0,Primera_Ficha,Usuario2,Femenino,27,Primera,Cangrejo,Facil
1624654579,Partida n,12.0,Conjunto_Incorrecto,Usuario2,Femenino,27,Error,Cangrejo,Facil
1624654579,Partida n,12.0,Primera_Ficha,Usuario2,Femenino,27,Primera,Rana,Facil
1624654581,Partida n,12.0,Conjunto_Incorrecto,Usuario2,Femenino,27,Error,Rana,Facil
1624654582,Partida n,12.0,Primera_Ficha,Usuario2,Femenino,27,Primera,Pulpo,Facil
1624654582,Partida n,12.0,Conjunto_Correcto,Usuario2,Femenino,27,Correcto,Pulpo,Facil
1624654584,Partida n,12.0,Primera_Ficha,Usuario2,Femenino,27,Primera,Medusa,Facil
1624654585,Partida n,12.0,Conjunto_Correcto,Usuario2,Femenino,27,Correcto,Medusa,Facil
1624654585,Partida n,12.0,Primera_Ficha,Usuario2,Femenino,27,Primera,Bufalo,Facil
1624654588,Partida n,12.0,Conjunto_Incorrecto,Usuario2,Femenino,27,Error,Bufalo,Facil
